Taxa,Gene Region 1,Gene Region 2,Gene Region 3,Gene Region 4,Gene Region 5,Gene Region 6,Gene Region 7,Gene Region 8,Gene Region 9,Gene Region 10,Gene Region 11,Gene Region 12,Gene Region 13,Gene Region 14,Gene Region 15,Gene Region 16,Gene Region 17,Gene Region 18,Gene Region 19,Gene Region 20,Gene Region 21,Gene Region 22,Gene Region 23,Gene Region 24,Gene Region 25,Gene Region 26,Gene Region 27,Gene Region 28,Gene Region 29,Gene Region 30,Gene Region 31,Gene Region 32,Gene Region 33,Gene Region 34,Gene Region 35,Gene Region 36,Gene Region 37,Gene Region 38,Gene Region 39,Gene Region 40,Gene Region 41,Gene Region 42,Gene Region 43,Gene Region 44,Gene Region 45,Gene Region 46,Gene Region 47,Gene Region 48,Gene Region 49,Gene Region 50,Gene Region 51,Gene Region 52,Gene Region 53,Gene Region 54,Gene Region 55,Gene Region 56,Gene Region 57
Calothamnus asper,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ087343.1,JQ087361.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_JQ087336.1,-,-,-,-,-,-,-,-,-,-
Calothamnus gilesii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF048882.1,-,-,-,-,-,-,-,-
Calothamnus gracilis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049444.1,-,-,-,-,-,-,-,AF048883.1,-,-,-,-,-,-,-,-
Calothamnus oldfieldii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049445.1,-,-,-,-,-,-,-,AF048884.1,-,-,-,-,-,-,-,-
Calothamnus quadrifidus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HQ170346.1,-,-,HQ170457.1,-,-,-,-,-,-,-,-,HQ170445.1,HQ170409.1,-,_R_HQ170486.1,-,-,-,-,-,-,-,-,-,-,-,-,_R_KC895505.1,-,EF041511.1,-,-,-,-,-,KM065198.1,_R_HQ170471.1,-
Calothamnus rupestris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ087342.1,JQ087360.1,-,-,-,-,-,-,-,-,AF049446.1,-,-,-,-,-,-,-,AF048885.1,-,-,-,-,-,-,-,-
Calothamnus sanguineus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ087341.1,JQ087359.1,-,-,-,-,-,-,-,-,AF049447.1,-,-,-,-,-,_R_JQ087334.1,-,AF048886.1,-,-,-,-,-,-,-,-
Calothamnus validus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY498774.1,-,-,-,-,AF184704.2,-,AF184667.2
Calycolpus moritzianus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ730668.1,-,-,-,-,-,-,-,JQ730669.1
Calyptranthes clusiifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JN091251.1,-,-,-,-,-,-,-,-,JN091200.1,-,-,-,-,-,-,_R_JN091391.1,-
Calyptranthes concinna,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489898.1,-,-,-,-,-,-,-,-,AM234103.1,-,-,-,JN091321.1,-,AM489980.1,_R_AM489817.1,KF981247.1
Calyptranthes grandifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JN091252.1,-,-,-,-,-,-,-,-,JN091201.1,-,-,-,JN091322.1,-,JN091302.1,_R_JN091392.1,-
Calyptranthes kiaerskovii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489900.1,-,-,-,-,-,-,-,-,AM234105.1,-,-,-,JN091323.1,-,AM489981.1,_R_AM489819.1,-
Calyptranthes lanceolata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489899.1,-,-,-,-,-,-,-,-,AM234104.1,-,-,-,JN091324.1,-,-,_R_AM489818.1,-
Calyptranthes pallens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY498775.1,-,-,-,-,AF368201.2,-,-
Calyptranthes speciosa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JQ626314.1
Calyptranthes thomasiana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489901.1,-,-,-,-,-,-,-,-,AM234106.1,-,-,-,JN091325.1,-,-,_R_AM489820.1,-
Calytrix tetragona,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HM160103.1,AY498776.1,-,-,-,-,AF489396.1,-,AF489340.1
Campomanesia guazumifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489902.1,-,-,-,-,-,-,-,-,AM234076.1,AY498777.1,-,-,-,-,AM489982.1,_R_AM489821.1,-
Campomanesia pubescens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489903.1,-,-,-,-,-,-,-,-,AM234077.1,-,-,-,-,-,-,_R_AM489822.1,-
Campomanesia sp.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM489904.1,-,-,-,-,-,-,-,-,AM234078.1,-,-,-,-,-,AM489983.1,_R_AM489823.1,-
Carpolepis elegans,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF211492.1,-,-,-,-,-,KM065268.1,-,-
Carpolepis laurifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF211493.1,-,-,-,-,-,-,-,-
Carpolepis tardiflora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF211495.1,-,-,-,-,-,-,-,-
Chamelaucium brevifolium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY259800.1,-,-
Chamelaucium ciliatum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KM065241.1,-,-
Chamelaucium drummondii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY259801.1,-,-
Chamelaucium erythrochloirum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY259802.1,-,-
Chamelaucium floriferum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY259803.1,-,-
Chamelaucium forrestii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY259806.1,-,-
Chamelaucium griffinii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY259807.1,-,-
Chamelaucium hamatum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY259808.1,-,-
Chamelaucium juniperinum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY259809.1,-,-
Chamelaucium marchantii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY259810.1,-,-
Chamelaucium megalopetalum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF489395.1,-,AF489339.1
Chamelaucium roycei,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AY259815.1,-,-
Chamelaucium uncinatum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,EU850639.1,-,-,-,-,-,-,-,-,EF026605.1,-,-,-,-,-,AY259816.1,-,-
Chamguava schippii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GQ981963.1,_R_GQ982182.1,-
Choricarpia subargentea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_DQ088409.1,-,EF026610.1,AY498778.1,-,-,-,-,AF368202.2,-,-
Cloezia floribunda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,_R_AY606255.1,-,-,-,-,-,-,-,-,AF172767.1,-,-,-,-,-,AY521533.1,-,-
Conothamnus trinervis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF049453.1,-,-,-,-,-,-,-,AF048893.1,-,-,-,-,-,-,-,-
Corymbia abbreviata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ993136.1,-,-,-,-,-,-,-,-
Corymbia abergiana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352481.1,-,-,-,-,-,-,-,-,DQ993145.1,-,-,-,-,-,-,-,-
Corymbia aff.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390453.1,-,-,-,-,-,-,-,-
Corymbia aparrerinja,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AF390458.1,-,-,-,-,-,-,-,-
Corymbia aureola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352482.1,-,-,-,-,-,-,-,-,GQ366352.1,-,-,-,-,-,-,-,-
Corymbia bella,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ993123.1,-,-,-,-,-,-,-,-
Corymbia bleeseri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ993131.1,-,-,-,-,-,-,-,-
Corymbia bloxsomei,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352483.1,-,-,-,-,-,-,-,-,GQ366353.1,-,-,-,-,-,-,-,-
Corymbia brachycarpa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352484.1,-,-,-,-,-,-,-,-,GQ366354.1,-,-,-,-,-,-,-,-
Corymbia bunites,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352485.1,-,-,-,-,-,-,-,-,GQ366355.1,-,-,-,-,-,-,-,-
Corymbia cadophora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352486.1,-,-,-,-,-,-,-,-,GQ366356.1,-,-,-,-,-,-,-,-
Corymbia calophylla,-,-,-,-,-,-,-,-,HQ287674.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352487.1,-,-,-,-,-,-,-,-,AF190361.1,-,-,-,AF190395.1,-,KM065179.1,_R_AF190378.1,HQ287588.1
Corymbia candida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ309055.1,-,-,-,-,-,-,-,-,-,-,-,-,-
Corymbia capricornia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ993146.1,-,-,-,-,-,-,-,-
Corymbia catenaria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352488.1,-,-,-,-,-,-,-,-,GQ366357.1,-,-,-,-,-,-,-,-
Corymbia chillagoensis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ309054.1,-,-,-,-,-,-,-,-,-,-,-,-,-
Corymbia citriodora,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352489.1,-,-,-,EF612738.1,-,-,-,-,AF390461.1,-,-,-,-,-,KM065099.1,-,-
Corymbia clarksoniana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352490.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Corymbia collina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352491.1,-,-,-,-,-,-,-,-,GQ366358.1,-,-,-,-,-,-,-,-
Corymbia dallachiana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352492.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Corymbia dampieri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352493.1,-,-,-,-,-,-,-,-,DQ993128.1,-,-,-,-,-,-,-,-
Corymbia dendromerinx,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352494.1,-,-,-,-,-,-,-,-,GQ366360.1,-,-,-,-,-,-,-,-
Corymbia deserticola,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352495.1,-,-,-,-,-,-,-,-,DQ993135.1,-,-,-,-,-,-,-,-
Corymbia dimorpha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352496.1,-,-,-,DQ309062.1,-,-,-,-,DQ993118.1,-,-,-,-,-,-,-,-
Corymbia dolichocarpa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352497.1,-,-,-,-,-,-,-,-,GQ366363.1,-,-,-,-,-,-,-,-
Corymbia eximia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352498.1,-,-,-,-,-,-,-,-,AF190360.1,-,-,-,AF190394.1,-,-,_R_AF190377.1,-
Corymbia ficifolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352499.1,-,-,-,-,-,-,-,-,AF058460.1,-,-,-,-,-,KM065199.1,-,-
Corymbia flavescens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352500.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Corymbia greeniana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ993130.1,-,-,-,-,-,-,-,-
Corymbia gummifera,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352501.1,-,-,-,-,-,-,-,-,AF390463.1,-,-,-,-,-,KM065066.1,-,-
Corymbia haematoxylon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352502.1,-,-,-,-,-,-,-,-,AF390456.1,-,-,-,-,-,-,-,-
Corymbia hamersleyana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352503.1,-,-,-,DQ309060.1,-,-,-,-,-,-,-,-,-,-,-,-,-
Corymbia hendersonii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352504.1,-,-,-,-,-,-,-,-,GQ366365.1,-,-,-,-,-,-,-,-
Corymbia henryi,-,-,-,-,-,-,-,-,HQ287675.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352505.1,-,-,-,DQ309050.1,-,-,-,-,AF390457.1,-,-,-,-,-,-,-,-
Corymbia intermedia,-,-,-,-,-,-,-,-,HQ287676.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352506.1,-,-,-,-,-,-,-,-,AF390454.1,-,-,-,HQ287701.1,-,-,-,HQ287589.1
Corymbia jacobsiana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ993127.1,-,-,-,-,-,-,-,-
Corymbia leichhardtii,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352507.1,-,-,-,DQ309057.1,-,-,-,-,DQ993122.1,-,-,-,-,-,-,-,-
Corymbia leptoloma,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352508.1,-,-,-,-,-,-,-,-,GQ366367.1,-,-,-,-,-,-,-,-
Corymbia ligans,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352509.1,-,-,-,-,-,-,-,-,GQ366368.1,-,-,-,-,-,-,-,-
Corymbia maculata,-,-,-,-,-,-,-,-,HQ287677.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352510.1,-,-,-,DQ309052.1,-,-,-,-,AF058461.1,-,-,-,HQ287702.1,-,-,-,HQ287590.1
Corymbia nesophila,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ993148.1,-,-,-,-,-,-,-,-
Corymbia opaca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352511.1,-,-,-,-,-,-,-,-,DQ993124.1,-,-,-,-,-,-,-,-
Corymbia opacula,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ993125.1,-,-,-,-,-,-,-,-
Corymbia papuana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352512.1,-,-,-,-,-,-,-,-,AF190359.1,-,-,-,AF190393.1,-,-,_R_AF190376.1,-
Corymbia peltata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352513.1,-,-,-,-,-,-,-,-,GQ366369.1,-,-,-,-,-,-,-,-
Corymbia petalophylla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352514.1,-,-,-,-,-,-,-,-,GQ366370.1,-,-,-,-,-,-,-,-
Corymbia polycarpa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352515.1,-,-,-,-,-,-,-,-,AF390452.1,-,-,-,-,-,-,-,-
Corymbia porphyritica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352516.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Corymbia porrecta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ993134.1,-,-,-,-,-,-,-,-
Corymbia ptychocarpa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352517.1,-,-,-,DQ309061.1,-,-,-,-,DQ993147.1,-,-,-,-,-,-,-,-
Corymbia rhodops,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352518.1,-,-,-,DQ309058.1,-,-,-,-,DQ993143.1,-,-,-,-,-,-,-,-
Corymbia scabrida,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352519.1,-,-,-,-,-,-,-,-,EF581306.1,-,-,-,-,-,-,-,-
Corymbia stockeri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352520.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Corymbia terminalis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352521.1,-,-,-,-,-,-,-,-,DQ993129.1,-,-,-,-,-,-,-,-
Corymbia tessellaris,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DQ352522.1,-,-,-,-,-,-,-,-,AF058457.1,-,-,-,-,-,JX850039.1,-,-
Corymbia torelliana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GQ366377.1,-,-,-,DQ309053.1,-,-,-,-,GQ366373.1,-,-,-,-,-,-,-,KF496869.1
